latitude,longitude,trajectory
45.26993942260742,-118.6044921875,1
45.258460998535156,-118.60700988769531,1
45.259403228759766,-118.59306335449219,1
45.25730514526367,-118.59955596923828,1
45.246665954589844,-118.60523223876953,1
45.24809265136719,-118.6025619506836,1
45.2459716796875,-118.60037231445312,1
45.246524810791016,-118.59736633300781,1
45.248619079589844,-118.59197235107422,1
45.2891845703125,-118.60511016845703,1
45.27293014526367,-118.57575225830078,1
45.26851272583008,-118.57945251464844,1
45.29048156738281,-118.60704803466797,1
45.288299560546875,-118.58541107177734,1
45.272369384765625,-118.5986328125,1
45.294490814208984,-118.58943176269531,1
45.28662109375,-118.56793212890625,1
45.279781341552734,-118.57237243652344,1
45.2889289855957,-118.58329772949219,1
45.273860931396484,-118.58865356445312,1
45.27168273925781,-118.57695007324219,1
45.27128219604492,-118.58047485351562,1
45.27119064331055,-118.58040618896484,1
45.27094268798828,-118.59832000732422,1
45.2691650390625,-118.60694122314453,1
45.277652740478516,-118.58639526367188,1
45.24681091308594,-118.58533477783203,1
45.25672149658203,-118.58920288085938,1
45.260719299316406,-118.57544708251953,1
45.2632942199707,-118.59181213378906,1
45.268672943115234,-118.59832000732422,1
45.24024963378906,-118.58972930908203,1
45.23846435546875,-118.59195709228516,1
45.248260498046875,-118.5996322631836,1
45.25548553466797,-118.5671615600586,1
45.26213455200195,-118.56147766113281,1
45.27955627441406,-118.57320404052734,1
45.27629852294922,-118.58792877197266,1
45.278995513916016,-118.57278442382812,1
45.30226516723633,-118.58493041992188,1
45.29106521606445,-118.58908081054688,1
45.274478912353516,-118.58281707763672,1
45.2747917175293,-118.57645416259766,1
45.272438049316406,-118.58399963378906,1
45.27254104614258,-118.5883560180664,1
45.27196502685547,-118.59464263916016,1
45.27357482910156,-118.56161499023438,1
45.2597770690918,-118.5616455078125,1
45.25934982299805,-118.56900024414062,1
45.25706481933594,-118.5702896118164,1
45.25730514526367,-118.5686264038086,1
45.2589111328125,-118.57677459716797,1
45.256629943847656,-118.5705795288086,1
45.256649017333984,-118.57097625732422,1
45.257869720458984,-118.56664276123047,1
45.26383590698242,-118.58390045166016,1
45.26283264160156,-118.5768814086914,1
45.27362823486328,-118.58331298828125,1
45.27192306518555,-118.60680389404297,1
45.27840805053711,-118.60509490966797,1
45.27836608886719,-118.60633087158203,1
45.276214599609375,-118.60757446289062,1
45.294944763183594,-118.59349060058594,1
45.286983489990234,-118.59507751464844,1
45.276363372802734,-118.58203887939453,1
45.23384094238281,-118.60188293457031,2
45.23406982421875,-118.6011734008789,2
45.231834411621094,-118.59810638427734,2
45.23429870605469,-118.60030364990234,2
45.23921203613281,-118.59766387939453,2
45.24269485473633,-118.59964752197266,2
45.24436950683594,-118.60486602783203,2
45.25381088256836,-118.60433197021484,2
45.2536735534668,-118.60198211669922,2
45.253841400146484,-118.6026840209961,2
45.253414154052734,-118.6048812866211,2
45.23177719116211,-118.59696960449219,2
45.223445892333984,-118.59874725341797,2
45.23137283325195,-118.59567260742188,2
45.22452163696289,-118.57512664794922,2
45.19227981567383,-118.56558990478516,2
45.19247055053711,-118.55308532714844,2
45.26387405395508,-118.60369110107422,2
45.243289947509766,-118.6041488647461,2
45.242774963378906,-118.59649658203125,2
45.251094818115234,-118.59002685546875,2
45.25172424316406,-118.59259796142578,2
45.252662658691406,-118.59552764892578,2
45.24406051635742,-118.6049575805664,2
45.24346160888672,-118.6053237915039,2
45.24090576171875,-118.60157012939453,2
45.24102783203125,-118.59156799316406,2
45.24555969238281,-118.58609008789062,2
