108,154.5
108,154.5
108,154.5
108,154.5
108.5,152
108.5,151
107.5,151
109.5,150.5
110,150
110,151
106.5,151
109,151
111.5,150
108.5,151
109.5,150.5
109,150.5
109.5,148.5
109,148.5
110,146.5
109,146.5
109,146.5
109,145
109.5,145
110,141.5
110.5,141
110.5,141
110,140
110,139.5
110.5,139
110.5,139
110.5,139
110,142
110.5,141
111.5,141
112.5,138.5
113,137.5
113,136.5
112.5,133
112.5,132.5
113,132.5
112.5,132
113,132
113,131
113.5,131
113.5,132
113.5,132.5
115,130
116,130
116.5,129.5
116.5,129
116.5,127.5
116.5,126.5
116.5,125
117,124.5
118,122
119,121
120,120
121,119
123,117
123,115.5
124.5,114
125,113
125.5,112.5
127,109.5
127.5,108
129.5,105
129.5,103
130.5,102.5
133,101
134,100.5
137.5,99
138,99
138.5,98
140,96
141.5,95
143.5,92.5
144.5,91
144.5,89.5
146.5,88.5
148.5,87.5
148.5,86.5
151,86.5
151.5,86.5
152.5,85
153,85
154,84
155.5,83
156.5,82
157.5,80.5
159,80
159.5,79.5
160.5,79.5
161,79
161.5,79
162.5,79
162.5,78.5
162.5,78
163.5,77
163,76.5
163,76
164,75
164.5,75
165,74.5
165.5,74
165.5,74
166.5,74
166.5,73.5
167,73.5
167,74
167.5,74
166,69
168,71
165.5,68.5
165,68.5
165,65.5
164.5,65.5
164,65.5
164.5,65
163.5,65.5
163.5,64.5
163.5,64
163.5,64
162,64
162.5,64
162.5,64
162.5,64
162.5,64
162.5,64
162.5,64
162.5,64
162.5,63.5
162.5,64
162.5,63
162.5,63
162,63.5
162,63.5
162,64
162,62.5
162,62.5
162.5,62.5
162,62.5
162,62.5
162,62.5
160,62
159.5,62.5
159,62.5
158.5,62.5
158.5,62.5
159,62.5
162,62.5
162,63
162.5,62.5
163,62.5
162.5,63
162.5,62.5
162.5,63
162.5,63
162.5,63
162.5,63
162.5,63
162.5,62.5
162.5,63
162.5,63
162.5,63
162.5,63
162.5,62.5
162.5,63
162.5,63
162.5,62.5
162.5,62.5
162,63
162.5,63
162.5,63
162.5,62.5
161.5,62.5
162,57
161,53
159,53
159,53.5
158.5,52
159,52.5
